time,open,high,low,close,volume
2022-01-01T00:00:00Z,123.90,127.48,123.21,126.90,220375096
2022-01-01T04:00:00Z,126.90,127.92,125.72,127.47,278149048
2022-01-01T08:00:00Z,127.47,129.10,125.72,126.31,297818822
2022-01-01T12:00:00Z,126.31,127.05,122.83,124.16,270838947
2022-01-01T16:00:00Z,124.16,127.14,123.42,126.15,212481461
2022-01-01T20:00:00Z,126.15,128.76,125.09,128.01,231600420
2022-01-02T00:00:00Z,128.01,131.94,127.43,130.81,265045356
2022-01-02T04:00:00Z,130.81,131.78,129.11,131.20,257521223
2022-01-02T08:00:00Z,131.20,133.78,130.57,131.93,223048752
2022-01-02T12:00:00Z,131.93,132.66,128.90,129.88,195313596
2022-01-02T16:00:00Z,129.88,131.40,128.66,129.38,255523772
2022-01-02T20:00:00Z,129.38,130.57,127.36,129.80,291870286
2022-01-03T00:00:00Z,129.80,134.34,129.10,133.51,282289245
2022-01-03T04:00:00Z,133.51,134.56,132.11,133.86,232572898
2022-01-03T08:00:00Z,133.86,135.26,131.24,131.80,230661386
2022-01-03T12:00:00Z,131.80,132.44,126.70,127.41,276703594
2022-01-03T16:00:00Z,127.41,129.01,126.68,127.64,283045556
2022-01-03T20:00:00Z,127.64,130.05,126.33,129.31,244147314
2022-01-04T00:00:00Z,129.31,133.19,128.55,131.87,182271512
2022-01-04T04:00:00Z,131.87,132.54,129.40,130.63,220629467
2022-01-04T08:00:00Z,130.63,132.25,129.10,129.77,270228366
2022-01-04T12:00:00Z,129.77,130.28,126.51,127.76,276869914
2022-01-04T16:00:00Z,127.76,129.72,127.11,127.84,241053322
2022-01-04T20:00:00Z,127.84,128.57,125.54,127.57,218826425
2022-01-05T00:00:00Z,127.57,131.13,126.79,130.13,273581771
2022-01-05T04:00:00Z,130.13,131.58,128.80,130.80,296745870
2022-01-05T08:00:00Z,130.80,132.85,129.33,130.07,273343890
2022-01-05T12:00:00Z,130.07,130.58,125.27,126.00,212212003
2022-01-05T16:00:00Z,126.00,127.28,125.11,125.61,218858180
2022-01-05T20:00:00Z,125.61,128.25,124.26,127.72,255604919
2022-01-06T00:00:00Z,127.72,132.80,126.96,132.05,259693439
2022-01-06T04:00:00Z,132.05,132.83,130.55,131.92,235751436
2022-01-06T08:00:00Z,131.92,133.41,130.05,130.83,200661021
2022-01-06T12:00:00Z,130.83,131.46,127.61,129.08,253427347
2022-01-06T16:00:00Z,129.08,132.03,128.59,130.89,293172990
2022-01-06T20:00:00Z,130.89,132.60,129.47,132.10,287405283
2022-01-07T00:00:00Z,132.10,135.61,131.39,134.58,239615680
2022-01-07T04:00:00Z,134.58,135.74,132.92,135.02,220309858
2022-01-07T08:00:00Z,135.02,137.39,134.21,135.47,268151363
2022-01-07T12:00:00Z,135.47,136.22,131.78,132.79,278667405
2022-01-07T16:00:00Z,132.79,134.24,131.48,132.21,244025481
2022-01-07T20:00:00Z,132.21,134.02,130.33,133.40,183632792
2022-01-08T00:00:00Z,133.40,138.60,132.79,137.97,219627233
2022-01-08T04:00:00Z,137.97,139.39,136.81,138.76,272932893
2022-01-08T08:00:00Z,138.76,140.36,136.50,137.25,284087063
2022-01-08T12:00:00Z,137.25,138.05,132.75,133.87,251204441
2022-01-08T16:00:00Z,133.87,136.08,133.13,134.86,216195348
2022-01-08T20:00:00Z,134.86,137.08,133.51,136.34,267505127
2022-01-09T00:00:00Z,136.34,139.73,135.86,138.20,294018028
2022-01-09T04:00:00Z,138.20,138.84,135.40,136.53,274436087
2022-01-09T08:00:00Z,136.53,138.03,134.65,135.29,215330516
2022-01-09T12:00:00Z,135.29,136.08,131.36,132.29,205372772
2022-01-09T16:00:00Z,132.29,133.51,130.32,131.10,246578397
2022-01-09T20:00:00Z,131.10,131.80,128.37,130.14,266775279
2022-01-10T00:00:00Z,130.14,133.63,129.56,132.54,247664661
2022-01-10T04:00:00Z,132.54,133.27,130.92,132.68,205302520
2022-01-10T08:00:00Z,132.68,134.27,130.38,130.87,250107686
2022-01-10T12:00:00Z,130.87,131.59,125.21,125.82,292871808
2022-01-10T16:00:00Z,125.82,126.73,123.98,124.68,290914899
2022-01-10T20:00:00Z,124.68,126.25,122.97,125.50,245405898
2022-01-11T00:00:00Z,125.50,129.05,124.84,127.64,213147575
2022-01-11T04:00:00Z,127.64,128.18,124.41,125.22,258313815
2022-01-11T08:00:00Z,125.22,126.08,121.85,122.37,273078017
2022-01-11T12:00:00Z,122.37,122.96,118.08,118.98,243128489
2022-01-11T16:00:00Z,118.98,120.64,118.19,118.78,191706340
2022-01-11T20:00:00Z,118.78,119.49,116.54,118.22,217991995
2022-01-12T00:00:00Z,118.22,121.07,117.52,119.85,274445683
2022-01-12T04:00:00Z,119.85,120.66,118.09,119.97,289886886
2022-01-12T08:00:00Z,119.97,122.15,119.15,119.76,260070692
2022-01-12T12:00:00Z,119.76,120.24,115.50,116.19,216716369
2022-01-12T16:00:00Z,116.19,117.26,114.71,115.18,259968252
2022-01-12T20:00:00Z,115.18,116.87,113.40,116.28,289689985
2022-01-13T00:00:00Z,116.28,121.08,115.57,120.31,274169658
2022-01-13T04:00:00Z,120.31,121.00,118.87,120.12,217658346
2022-01-13T08:00:00Z,120.12,121.28,117.44,118.11,191341053
2022-01-13T12:00:00Z,118.11,118.57,113.93,115.08,243488081
2022-01-13T16:00:00Z,115.08,117.57,114.59,116.61,273420975
2022-01-13T20:00:00Z,116.61,119.02,115.52,118.51,258604546
2022-01-14T00:00:00Z,118.51,122.35,117.81,121.36,213363435
2022-01-14T04:00:00Z,121.36,122.34,119.77,121.62,245530070
2022-01-14T08:00:00Z,121.62,124.07,120.93,122.51,290937715
2022-01-14T12:00:00Z,122.51,123.10,119.85,121.10,292791490
2022-01-14T16:00:00Z,121.10,123.03,120.64,121.30,249930491
2022-01-14T20:00:00Z,121.30,122.58,119.42,122.13,205042249
2022-01-15T00:00:00Z,122.13,126.88,121.47,126.32,247341585
2022-01-15T04:00:00Z,126.32,128.25,125.38,127.57,266414560
2022-01-15T08:00:00Z,127.57,129.31,125.75,126.49,246763055
2022-01-15T12:00:00Z,126.49,127.19,121.83,122.73,205723739
2022-01-15T16:00:00Z,122.73,124.55,122.15,123.43,215634850
2022-01-15T20:00:00Z,123.43,126.44,122.38,125.85,274670085
